id,text,primary_emotion,secondary_emotion,teccr_context
404,யாரும் புரியாத உணர்வு,Sadness,None,Isolation perception
405,நினைவுகள் தூக்கம் கலைக்குது,Sadness,Frustration,Sleep disturbance
406,சுமை குறையாத மனநிலை,Sadness,Despair,Unrelieved burden
407,சிரிப்பு வெளியில் மட்டும்,Sadness,None,Surface masking
408,எதிர்பார்ப்பு தோல்வி தந்தது,Sadness,Despair,Expectation failure
409,மனசு ஓயாமல் வலிக்குது,Sadness,Frustration,Persistent ache
410,நாட்கள் சோர்வாக ஓடுது,Sadness,None,Drained time
411,யாரிடம் சொல்லும் துணிச்சல் இல்லை,Sadness,None,Expression inhibition
412,நம்பிய விஷயம் கசந்தது,Sadness,Despair,Disillusionment
413,மனசு சற்று உடைந்தது,Sadness,Despair,Minor heartbreak
414,வார்த்தைகள் போதாத நிலை,Sadness,None,Inexpressible feeling
415,இரவு நீண்டதாக தெரிகிறது,Sadness,None,Prolonged night
416,எல்லாம் சுமையாக மாறுது,Sadness,Frustration,Accumulating stress
417,நம்பிக்கை தேடிக் கொண்டே,Sadness,Hope,Active coping
418,உள்ளுக்குள் அமைதி கிடைக்கல,Sadness,None,Inner unrest
419,நாட்கள் அர்த்தமில்லாதது,Sadness,Despair,Meaning loss
420,மனசு ஓய்வு கேட்குது,Sadness,Hope,Need for rest
421,இன்று மனசு சிரிச்சது,Joy,None,Emotional uplift
422,சின்ன மகிழ்ச்சி நாள் மாற்றியது,Joy,None,Minor joy impact
423,நல்ல நினைவு திடீரென,Joy,None,Positive recall
424,மனசு லேசாக உணர்ந்தது,Joy,None,Light relief
425,சிரிப்பு தானாக வந்துச்சு,Joy,None,Spontaneous joy
426,நம்பிக்கை மனதை நிரப்புது,Joy,Hope,Hopeful filling
427,நாள் இனிமையாக சென்றது,Joy,None,Pleasant flow
428,சின்ன வெற்றி ஊக்கம் தந்தது,Joy,Hope,Motivational success
429,உள்ளுக்குள் நிம்மதி,Joy,None,Inner peace
430,இந்த நிமிடம் போதும்,Joy,None,Present satisfaction
431,நல்ல செய்தி மனம் குளிர்ந்தது,Joy,None,Soothing news
432,சிரிப்பில் சுமை குறைந்தது,Joy,None,Relief through joy
433,மனசு சாந்தியடைந்தது,Joy,None,Calm attainment
434,எதிர்காலம் ஒளிர்வதாக தோன்றுது,Joy,Hope,Optimistic vision
435,சின்ன மாற்றம் மகிழ்ச்சி தந்தது,Joy,None,Unexpected delight
436,நல்ல எண்ணங்கள் ஓடுது,Joy,None,Positive flow
437,மனசு இன்றைக்கு லேசு,Joy,None,Light mood
438,இந்த சந்தோஷம் போதுமானது,Joy,None,Sufficient joy
439,நாள் நினைவில் நிற்கும்,Joy,None,Memorable day
440,இப்படி நாள்கள் வரணும்,Joy,Hope,Wishful desire
441,கோபம் காரணம் தெரியல,Anger,Frustration,Diffuse anger
442,சொல்லியும் யாரும் புரியல,Anger,Frustration,Misunderstood anger
443,பொறுமை இப்போ குறைவு,Anger,None,Low patience
444,நியாயம் கேள்விக்குறி,Anger,Frustration,Justice doubt
445,எல்லாம் மேல சலிப்பு,Anger,Frustration,Chronic irritation
446,சும்மா சிரிச்சு தப்பிக்குறாங்க,Anger,Sarcasm,Evasive sarcasm
447,இதுக்கு முடிவே தெரியல,Anger,Frustration,Unending issue
448,மனசு கொதிப்பாக இருக்கு,Anger,None,Boiling anger
449,பேசினாலும் பயன் இல்லாத நிலை,Anger,Frustration,Resigned frustration
450,பொறுமை எல்லை எட்டியது,Anger,None,Threshold reached
451,எல்லாம் வேடிக்கையாக தெரிகிறது,Anger,Sarcasm,Ironic perception
452,யாரும் கவலைப்படல,Anger,Frustration,Perceived neglect
453,மனசு கடுப்பே மிச்சம்,Anger,None,Residual anger
454,சொல்லாம இருக்க முடியவில்லை,Anger,Frustration,Need to vent
455,இதுதான் சரியா என்ற கோபம்,Anger,Frustration,Moral anger
456,நாடகம் மாதிரி நடக்குது,Anger,Sarcasm,Performative sarcasm
457,எல்லாம் குழப்பமாக போச்சு,Anger,Frustration,Chaos frustration
458,மனசு இப்போ அமைதி இழந்தது,Anger,None,Lost calm
459,இதெல்லாம் தாங்க முடியாதது,Anger,Frustration,Overload anger
460,வார்த்தைகள் கூட கடுப்பாகுது,Anger,None,Irritable speech
461,நாளை பற்றி நினைத்தால் பயம்,Fear,None,Future fear
462,உள்ளுக்குள் அச்சம் ஓடுது,Fear,None,Internal anxiety
463,எதிர்பார்ப்பு பதற்றம் தருது,Fear,Frustration,Anxious expectation
464,நிச்சயமில்லாத நிலை தொடருது,Fear,None,Ongoing uncertainty
465,பயம் மெதுவாக சேருது,Fear,None,Accumulating fear
466,மனசு ஓயாமல் சிந்திக்குது,Fear,Frustration,Overthinking stress
467,எல்லாம் கைவிட்டுப் போகுமோ,Fear,Despair,Loss dread
468,நம்பிக்கையுடன் பயமும்,Fear,Hope,Mixed anticipation
469,யாராவது அருகில் இருந்தா,Fear,Hope,Need for presence
470,இந்த நிலை மாறுமா,Fear,Hope,Change hope
471,மனசு திணறும் மாதிரி,Fear,None,Stress sensation
472,எதிர்கால சிந்தனை பயமூட்டுது,Fear,None,Future anxiety
473,எதையும் தொடங்க தயக்கம் இருக்கு,Fear,None,Hesitation fear
474,நிலையற்ற உணர்வு நிற்கல,Fear,None,Instability persistence
475,மனசு அமைதி தேடி அலைகிறது,Fear,Hope,Seeking calm
476,பயம் காரணமில்லாமல் வருது,Fear,None,Free anxiety
477,நாளை நினைத்தால் பதட்டம்,Fear,None,Tomorrow tension
478,உள்ளுக்குள் கலக்கம் அதிகரிக்குது,Fear,Frustration,Rising turmoil
479,கையில் எதுவும் இல்லாத உணர்வு,Fear,Despair,Powerlessness
480,இந்த பயம் கடக்கணும்,Fear,Hope,Overcoming wish
481,இன்று சாதாரண நாளாக போச்சு,Neutral,None,Plain update
482,வழக்கம்போல வேலை முடிந்தது,Neutral,None,Routine task
483,எதுவும் விசேஷமில்லை இன்று,Neutral,None,No highlight
484,நேரம் மெதுவாக நகர்ந்தது,Neutral,None,Time passage
485,சும்மா பார்த்துக்கொண்டிருந்தேன்,Neutral,None,Casual watching
486,நாள் எப்படியோ கடந்தது,Neutral,None,Day passed
